DESCRIPTION,CODE,LATITUDE,LONGITUDE
ABERGAVENNY SIG 38,ABRGS38,49.766809,-7.5571598
ABERGAVENNY UP SIDINGS,ABRGUS,49.766809,-7.5571598
ABERGAVENNY,ABRGVNY,51.816688,-3.0096468
ABERPERGWM,ABRPGWM,51.739375,-3.6451771
AFON WEN LC,ABRYAFO,58.472511,8.3099342
ABERYSTWYTH RUN ROUND LOOP,ABRYRRL,56.767241,-1.0585523
SHELL(ABERYSTWTH OIL DISTRBTR),ABRYSHE,52.416739,-4.0820204
ABERYSTWYTH,ABRYSTH,52.414043,-4.0818934
ABERTHAW,ABTH,51.394546,-3.3969804
ABERTHAW AW 222,ABTH222,53.940996,0.50397644
ABERTHAW AW231,ABTH231,53.057315,-1.2055137
ABERTHAW SIG CF3433,ABTH433,49.766809,-7.5571598
ABERTHAW SIG CF3440,ABTH440,49.766809,-7.5571598
ABERTHAW SIGNAL A13,ABTHA13,51.388725,-3.3994476
ABERTHAW SIGNAL A13,ABTHA39,51.388735,-3.3994335
ABERTHAW PS CRIP SDG FHH,ABTHCFH,49.766809,-7.5571598
ABERTHAW PS COLAS RAIL,ABTHCRL,49.766809,-7.5571598
ABERTHAW CEMENT WORKS LAFARGE,ABTHLAF,54.956177,4.0124512
ABERTHAW N.P.OIL SDG,ABTHOSD,51.388725,-3.3994476
ABERTHAW POWER STATION EWS,ABTHPS,51.388725,-3.3994476
ABERTHAW PWR STN FLINER HVY HL,ABTHPST,58.472511,8.3099342
ABERTHAW RECEPTION SDGS,ABTHRCP,51.38917,-3.3998492
ABERTHAW DN REC SDG FHH,ABTHRFH,49.766809,-7.5571598
ABERTHAW TARMAC COLAS RAIL,ABTHTCR,49.766809,-7.5571598
ABERTHAW BRIS CHNL CEMENT EWS,ABTHWCC,51.399741,-3.400172
BR ABBOTSWOOD JN ENG SIDING,ABTSWDJ,52.148173,-2.1636359
ABBEY WOOD,ABWD,51.491664,0.12035601
ALSIKE ROAD JUNCTION,ABWDARJ,49.766809,-7.5571598
ABBEY WOOD ENGINEERING RD,ABWDER,49.766809,-7.5571598
ABBEY WOOD (CROSSRAIL),ABWDXR,49.766809,-7.5571598
ABBEY WOOD CROSSRAIL SDG,ABWDXRS,49.766809,-7.5571598
ACTON BRIDGE,ACBG,53.265969,-2.6026692
ACTON GRANGE JUNCTION,ACGJN,53.362026,-2.6265642
NORTON LEVEL CROSSING,ACGJNLX,53.763588,0.47841275
ACHANALT,ACHANLT,57.592933,-4.9754666
ACHERES  (FRANCE),ACHERES,50.877956,4.3418271
BALNACRA L.C.,ACHHBLC,58.472511,8.3099342
ACHNASHELLACH,ACHHSHL,58.472511,8.3099342
AUCHINLECK,ACHILCK,55.464341,-4.2760205
ACHEILDH,ACHLDH,58.472511,8.3099342
AUCHENGRAY,ACHNGRY,58.472511,8.3099342
ACHNASHEEN C.E.,ACHNSCE,57.579206,-5.0723753
ACHNASHEEN,ACHNSHN,57.579117,-5.0723677
ACKLINGTON,ACKLNGT,55.307097,-1.6518346
ACLE,ACLE,52.63468,1.5439151
ACOCKS GREEN,ACOCKSG,52.449321,-1.8189754
ACCRINGTON,ACRNGTN,53.753193,-2.3700047
ACTON CANAL WHARF,ACTCWHF,51.531109,-0.25411674
ACTON CENTRAL,ACTNCTL,51.508769,-0.26361708
ACTON LANE REC SDGS GBRF,ACTNLRG,55.819497,2.2556304
ACTON LANE RECEPTION SDGS,ACTNLRS,58.472511,8.3099342
ACTON YARD (EWS),ACTOEWS,49.766809,-7.5571598
ACTON YARD GBRF,ACTOGBR,58.472511,8.3099342
ACTON LOCO HOLDING SIDINGS,ACTOLHS,49.766809,-7.5571598
FOSTER YEOMAN,ACTONFY,49.766809,-7.5571598
ACTON MAIN LINE,ACTONML,51.516922,-0.26763096
ACTON(ML) MARSHALLING YARD,ACTONTC,51.515504,-0.29362724
ACTON WEST,ACTONW,51.515546,-0.29650817
ACHTERNEED,ACTRNED,58.472511,8.3099342
ACTON WELLS SIGNAL AW105,ACWL105,49.766809,-7.5571598
ACTON WELLS JN SIG AW149,ACWL149,49.766809,-7.5571598
ACTON WELLS JN SIG AW150,ACWL150,49.766809,-7.5571598
ACTON WELLS JUNCTION,ACWLJN,51.524818,-0.25435737
ADDERLEY PARK BIRMINGHAM,ADERLYP,52.483533,-1.8556485
ADDIEWELL,ADIEWEL,55.843407,-3.6065264
ADISHAM,ADISHAM,51.240514,1.1991705
ADLINGTON (CHESHIRE),ADLC,53.319552,-2.1335625
ADDLESTONE JUNCTION,ADLESTJ,51.361494,-0.47172388
ADDLESTONE,ADLESTN,51.373347,-0.48425999
ADLINGTON (LANCASHIRE),ADNL,53.612928,-2.6030663
ADSWOOD ROAD JN,ADSWDRD,53.38491,-2.1740897
ADWICK,ADWICK,53.577204,-1.1929181
ADWICK JN,ADWICKJ,53.579384,-1.1949458
AGECROFT JN,AGCRFTJ,53.509819,-2.2955025
AUGHTON PARK,AGHTNPH,53.554472,-2.8950746
AIGBURTH,AIGBURT,53.364563,-2.9271549
AINSDALE,AINSDAL,53.601815,-3.0426618
AINTREE SIGNAL 1206,AINT206,49.766809,-7.5571598
AINTREE,AINTREE,53.473995,-2.9566589
AINTREE SEFTON JUNCTION,AINTSFJ,53.473995,-2.9566589
AIRBLES,AIRBLES,55.782006,-3.9946924
AIRDRIE,AIRD754,55.819497,2.2556304
AIRDRIE C.S.,AIRDCS,55.86199,-3.9813086
AIRDRIE,AIRDRIE,55.864003,-3.9813152
AIRPORT (NEWCASTLE),AIRP,58.472511,8.3099342
AIS GILL SIGNAL BOX,AISGILL,54.369532,-2.3443127
AISH EMERGENCY CROSSOVER,AISHXO,51.756479,1.5289255
ALBION,ALBION,52.515982,-2.0264814
ALBANY PARK,ALBNYPK,51.435799,0.12640068
ALBRIGHTON,ALBRGHT,52.637941,-2.2688999
ALDERSBROOK SIGNAL 337/354,ALDB337,49.766809,-7.5571598
ALDERSBROOK UP CARR SDGS,ALDBUCS,58.472511,8.3099342
ALDERLEY EDGE,ALDEDGE,53.304111,-2.237056
ALDERLEY EDGE DOWN SDG,ALDEDNS,49.766809,-7.5571598
ALDERLEY EDGE UP SDG,ALDEUPS,49.766809,-7.5571598
ALDGATE EAST LT,ALDGEST,49.766809,-7.5571598
TIP,ALDMCE,55.537299,2.0360211
BR PADWORTH SIDING,ALDMSPS,51.403359,-1.1381163
ALDERMASTON,ALDMSTN,51.402454,-1.1374145
ALDERSHOT SIGNAL WK1371,ALDR371,49.766809,-7.5571598
ALDERSHOT SIGNAL WK1378,ALDR378,49.766809,-7.5571598
ALDERSHOT,ALDRSHT,51.246209,-0.76066776
ALDERSHOT NORTH JN,ALDRSJN,51.259403,-0.73308309
ALDERSHOT SOUTH JN,ALDRSJS,51.258395,-0.7230789
ALDRINGTON,ALDTON,50.836662,-0.18216316
ALDWARKE JN S1077,ALDW077,49.766809,-7.5571598
SHEFFIELD SIG S1092,ALDW109,58.472511,8.3099342
ROUNDWOOD CHORD,ALDW721,58.472511,8.3099342
ALDWARKE JUNCTION,ALDW738,58.472511,8.3099342
ALDWARKE UES GBRF,ALDWGBF,49.766809,-7.5571598
ALDWARKE LIMIT OF SHUNT,ALDWLOS,49.766809,-7.5571598
ALDWARKE U.E.S.,ALDWNWS,53.427313,-1.4013534
ALDWARKE JN,ALDWRKJ,58.472511,8.3099342
BSC 11 INCH MILL,ALDWRML,53.420458,-1.387847
ALDWARKE REPAIR SIDINGS,ALDWRS,53.421357,-1.3878341
LIVERPOOL SOUTH PW HL,ALERTN,53.358558,-2.8894603
ALLERTON SIGNAL AN4,ALERTN4,49.766809,-7.5571598
ALLERTON JUNCTION,ALERTNJ,53.355895,-2.8848974
ALLERTON TMD,ALERTNS,53.359457,-2.889479
ALEXANDRA PALACE,ALEXNDP,51.598281,-0.12014823
ALEXANDRA PALACE SAND SDG,ALEXPSS,51.598281,-0.12014823
ALFRETON,ALFRETN,53.101337,-1.3711764
ALLENS WEST,ALLENSW,54.525011,-1.3634128
URLAY NOOK CROSSOVER,ALLEURL,58.472511,8.3099342
ALLINGTON AMEY ROADSTONE CN PS,ALLGARC,51.293027,0.50206017
ALLINGTON A.R.C. REVERSE,ALLGREV,49.766809,-7.5571598
ALLOA,ALLOA,58.472511,8.3099342
ALLOA LOOP,ALLOALP,51.823724,-6.193829
ALNESS,ALNESS,57.664405,-4.2209652
ALLINGTON EAST JN,ALNGEJN,52.875195,2.9740205
ALLINGTON JN,ALNGJN,52.933214,-0.70261563
ALLINGTON NORTH JN,ALNGNJN,55.584227,0.27432988
LITTLE MILL LC,ALNMILL,58.472511,8.3099342
ALNMOUTH,ALNMOTH,55.393316,-1.6368695
ALNMOUTH UP ENG SIDINGS,ALNMUES,49.766809,-7.5571598
ALRESFORD (ESSEX),ALRESFD,51.853874,0.99706503
ALRESFORD,ALRSFRD,58.472511,8.3099342
ALREWAS L.C.,ALRWAS,52.709346,-1.7646184
EAST JUNCTION,ALSAEJN,53.091863,-2.2868799
ALSAGER,ALSAGER,53.091863,-2.2868799
UP & DOWN GOODS LOOP,ALSAUDG,53.091834,-2.2986015
ALLSCOTT GF,ALSCGF,58.472511,8.3099342
SUGAR SIDINGS,ALSCTSW,52.707815,-2.5860663
UPTON MAGNA,ALSCUPT,58.472511,8.3099342
AYLESHAM,ALSHAM,51.227632,1.209737
ALSTONE CHS,ALSTONS,51.89793,-2.1058122
ALTOFTS JN,ALTFTJN,53.710986,-1.4136376
ALTHORNE,ALTHORN,51.647616,0.7521212
ALTNABREAC,ALTNBRC,58.38834,-3.7052631
ALTNABREAC CE SIDING,ALTNCCE,58.388342,-3.7050922
ALTON,ALTON,51.151102,-0.96767605
ALTHORPE,ALTPE,53.585284,-0.73409508
ALTRINCHAM,ALTRNHM,53.387435,-2.3472774
ALVECHURCH,ALVCHRC,52.346069,-1.9676605
ALVES,ALVES,57.551846,-3.3899894
ALEXANDRIA,ALXANDR,55.985082,-4.5774841
NEWPORT TOPS,ALXNJTC,51.572129,-3.0085466
ALEXANDRA DOCK JN YD LHS,ALXNLHS,49.766809,-7.5571598
ALEXANDRA DOCKS UDG,ALXNUDG,49.766809,-7.5571598
ALEXANDRA PARADE GLASGOW,ALXPD,55.863677,-4.2114279
AMBERGATE JUNCTION,AMBERGJ,53.055664,-1.4753697
AMBERGATE,AMBERGT,53.061414,-1.4806866
WINGFIELD,AMBEWIN,58.472511,8.3099342
AMBERIEU  (FRANCE),AMBRIEU,50.877062,4.3417054
MANTLES WOOD,AMERMWD,51.672511,-0.60734434
AMERSHAM LT,AMERSHM,51.67341,-0.60731678
AMLWCH,AMLWCH,53.41622,-4.341225
AMLWCH ASSOCTD OCTEL SDGS,AMLWOCT,53.41622,-4.341225
AMBERLEY,AMLY,50.896576,-0.54245062
AMMANFORD,AMMANFD,51.795075,-3.9966951
AMINGTON JN SIG NL1294,AMNG294,49.766809,-7.5571598
AMINGTON JN SIG NL9459,AMNG459,49.766809,-7.5571598
AMINGTON JN SIG NL9462,AMNG462,49.766809,-7.5571598
AMINGTON JN SIG NL5485,AMNG485,52.637631,-1.6817937
AMINGTON JN SIG NL3487,AMNG487,49.766809,-7.5571598
AMINGTON JN SIG NL5488,AMNG488,49.766809,-7.5571598
AMINGTON JN SIG NL3490,AMNG490,49.766809,-7.5571598
AMINGTON JN,AMNGTNJ,57.748412,-0.77580537
AMPTHILL,AMPTNLS,50.907209,2.8847438
AMSTERDAM CS,AMSTDAM,50.913131,4.3736719
SCHIPOL,AMSTSCH,50.914024,4.3737944
ANNAT SIGNAL BOX & BRANCH,ANAT,56.84321,-5.1708665
HONINGTON,ANCAHON,58.472511,8.3099342
ANCASTER,ANCASTR,52.98791,-0.53561612
ANDOVER SHUNT SIG BE5202,ANDO202,49.766809,-7.5571598
KEMIRA,ANDOKMR,58.472511,8.3099342
LUDGERSHALL BRANCH STOP BOARD,ANDOLSB,49.766809,-7.5571598
ANDOVER,ANDOVER,51.211201,-1.4917357
ANDOVER YARD,ANDOYD,49.766809,-7.5571598
ANDERSTON,ANDRSTN,55.859039,-4.2686918
ANERLEY,ANERLEY,51.412152,-0.06595777
ANGEL ROAD,ANGELRD,51.612427,-0.050234754
ANGMERING GROUND FRAME,ANGMGF,49.766809,-7.5571598
ANGMERING,ANGMRNG,50.816765,-0.48957238
ANGERSTEIN WHARF FLHH,ANGRFHH,54.870575,0.42259052
ANGERSTEIN WHARF GBRF,ANGRGBR,49.766809,-7.5571598
MARCON PS,ANGRMAR,58.472511,8.3099342
ANGERSTEIN JUNCTION,ANGRSTJ,51.484383,0.02351582
ANGERSTEIN WHARF LONDON,ANGRSTW,51.489507,0.024117248
TARMAC,ANGRTAR,51.489507,0.024117248
ANNAN DRS ISU CE,ANNADRS,58.472511,8.3099342
ANNAN,ANNAN,54.983834,-3.2625804
ANNBANK,ANNBANK,55.49086,-4.52768
ANSDELL & FAIRHAVEN,ANSDELL,53.741547,-2.9945673
ANNIESLAND GLASGOW,ANSL,55.890405,-4.3217
ANNIESLAND PLATFORM 3,ANSL3,55.890405,-4.3217
APPLEBY,APBY,54.580528,-2.4857661
APPLEBY NORTH EAST SIDIGS,APBYNE,54.580528,-2.4857661
APPLEDORE,APDR,51.033618,0.81542324
APPERLEY BRIDGE,APERLYB,49.766809,-7.5571598
APPERLEY JN,APERLYJ,53.839661,-1.6945062
APPLEHURST JN,APLHRSJ,53.582414,-1.1148323
APPLEY BRIDGE,APLYBDG,53.573677,-2.7287267
APPLEY BRIDGE WIMPEY,APLYBGW,53.574576,-2.7287421
APPLEFORD,APPLEFD,51.638762,-1.242763
ARC,APPLEFS,51.639666,-1.2434705
APPLEFORD XNG SIGNALLING,APPLEFX,51.638762,-1.242763
APPLEFORD SDGS (GBRf),APPLEGB,49.766809,-7.5571598
APPLEFORD FHH,APPLFHH,54.732072,1.6695269
APSLEY,APSLEY,51.732762,-0.46357824
ARRAS  (FRANCE),ARAS,50.876169,4.3415836
ARBROATH CROSSOVER,ARBRCVR,58.472511,8.3099342
ARBROATH,ARBROTH,56.559572,-2.5889314
ARBROATH UP NORTH SIDING,ARBRUNS,49.766809,-7.5571598
ARBROATH U.R.S.,ARBRURS,56.560471,-2.5889453
ARBROATH UP SOUTH SIDING,ARBRUSS,49.766809,-7.5571598
ARROCHAR & TARBET,ARCHAME,58.472511,8.3099342
ARROCHAR & TARBET,ARCHRAT,56.203969,-4.7227699
ARROCHAR & TARBET C.E.,ARCHRCE,56.20038,-4.7225154
ARCOW QUARRY GBRF,ARCQGBF,49.766809,-7.5571598
ARCOW QUARRY GF,ARCQGF,49.766809,-7.5571598
ARDLEIGH,ARDEGH,58.472511,8.3099342
ARDGAY,ARDGAY,57.881029,-4.3625675
ARDGAY C.E.,ARDGAYC,57.879218,-4.363292
RS,ARDLUCE,56.301139,-4.7183652
ARDLUI,ARDLUI,56.301068,-4.7215934
ARDINGLY HANSON AGGREGATES,ARDNFHH,51.69112,6.2467954
ARDINGLY,ARDNGLY,51.033878,-0.086027976
ARDROSSAN CHS,ARDRSDS,55.642232,-4.8004591
ARDROSSAN HARBOUR,ARDRSHB,55.640807,-4.8234027
ARDROSSAN SOUTH BEACH,ARDRSSB,55.640455,-4.7995375
ARDROSSAN TOWN,ARDRSTN,55.640274,-4.8074711
ARDWICK JUNCTION,ARDWCKJ,53.472664,-2.2186663
ARDWICK,ARDWICK,53.471342,-2.2138839
MANCHESTER ARDWICK EAST,ARDWKEJ,53.472664,-2.2186663
ARDWICK EAST YARD,ARDWKEY,53.470441,-2.2153858
ARDWICK T.M.D,ARDWTMD,49.766818,-7.557147
ARGYLE STREET GLASGOW,ARGYLST,55.857566,-4.2510286
ARISAIG,ARISAIG,56.937994,-5.8301816
CE SIDING,ARISCE,56.938045,-5.8285419
ARKLESTON SIGNAL 6021,ARKL021,49.766809,-7.5571598
ARKLESTON SIGNAL 6023,ARKL023,49.766809,-7.5571598
ARKLESTON SIGNAL 6025,ARKL025,49.766809,-7.5571598
ARKLESTON EAST,ARKLSTE,49.766809,-7.5571598
ARKLESTON JN,ARKLSTJ,55.848967,-4.4198781
ARKLESTON WEST,ARKLSTW,49.766809,-7.5571598
ARKSEY D814,ARKS814,49.766809,-7.5571598
ARKSEY SIGNAL D815,ARKS815,49.766809,-7.5571598
ARKSEY LOOP,ARKSEYL,53.560955,-1.1303775
ARLON,ARLON,50.892955,4.3593183
CADWELL,ARLSCAD,58.472511,8.3099342
ARLESEY,ARLSEY,52.023164,-0.26708654
ARMADALE,ARMDALE,49.766809,-7.5571598
ARMITAGE JN,ARMITAG,52.734408,-1.8682403
ARMLEY JUNCTION,ARMLJCN,58.472511,8.3099342
ARMATHWAITE,ARMTHWT,54.806391,-2.774735
ARNSIDE,ARNSIDE,54.202101,-2.827769
WARRINGTON ARPLEY,ARPLEYJ,53.385542,-2.5983433
ARPLEY SIDINGS,ARPLEYS,53.383736,-2.5980624
ARPLEY,ARPLHOL,58.472511,8.3099342
ARPLEY H.S.,ARPLSHS,53.383736,-2.5980624
WARRINGTON FUELLING POINT,ARPLYFA,58.472511,8.3099342
WARRINGTON ARPLEY NC RDS,ARPNRD,49.766809,-7.5571598
ARRAM,ARRAM,53.884571,-0.42686583
ARUNDEL SHUNT SIG.50,ARUN50,49.766809,-7.5571598
ARUNDEL,ARUNDEL,50.848068,-0.54680382
ARUNDEL JUNCTION,ARUNDLJ,50.828502,-0.56445066
ASH BRIDGE JN,ASBRDGE,53.425377,-2.1680853
ASCOT SIGNAL F501,ASCO501,54.178468,-0.96634575
ASCOT SIGNAL F504,ASCO504,49.766809,-7.5571598
ASCOT SIGNAL F506,ASCO506,49.766809,-7.5571598
ASCOT DOWN SIDING,ASCODS,50.703521,-1.2559821
ASCOT,ASCOT,51.406258,-0.67727051
ASCOTT-UNDER-WYCHWOOD,ASCTUWD,51.86787,-1.5642509
ASHFORD (MIDDLESEX),ASFDMSX,51.443394,-0.45848734
ASHFIELD,ASFIELD,55.888032,-4.2559912
ASFORDBY COLLIERY,ASFRDBY,52.777214,-0.92518688
ARDWICK WEST SIDINGS,ASHBAWS,54.546494,1.8276028
ASHBURYS (DBC),ASHBEWS,53.472279,-2.1912906
ASHBURYS LAFARGE,ASHBFHH,58.472511,8.3099342
ASHBURYS EAST JUNCTION,ASHBREJ,53.471381,-2.1912866
ASHBURYS SIGNAL BOX,ASHBRSB,53.471381,-2.1912866
ASHBURYS S.S,ASHBRSY,53.472279,-2.1912906
ASHBURYS WEST JUNCTION,ASHBRWJ,53.471366,-2.2003255
ASHBURYS,ASHBRYS,53.471381,-2.1912866
ASHCHURCH SIGNAL G453,ASHC453,49.766809,-7.5571598
ASHCHURCH MOD GBRF,ASHCGBF,49.766809,-7.5571598
ASHCHURCH,ASHCHRC,52.004392,-2.1033833
ASHCHURCH - MOD (ARMY),ASHCMOD,58.472511,8.3099342
ASHCHURCH WAR DEPT. G.F.,ASHCWGF,58.472511,8.3099342
ASHCHURCH WAR DEPT GF,ASHCWTF,49.766809,-7.5571598
ASHTEAD,ASHD,51.31788,-0.30814547
ASHFORD SIGNAL AD2119,ASHF119,49.766809,-7.5571598
ASHFORD SIGNAL 661,ASHF661,49.766809,-7.5571598
ASHFORD A JUNCTION,ASHFAJN,49.766809,-7.5571598
ASHFORD EAST JN (CTRL),ASHFCEJ,58.472511,8.3099342
ASHFORD CRANE DEPOT,ASHFCR,58.472511,8.3099342
ASHFORD WEST JN (CTRL),ASHFCWJ,58.472511,8.3099342
ASHFORD DOWN SIGINGS,ASHFDNS,51.140897,0.87913967
ASHFORD DOWN YD WASHER RD,ASHFDYW,49.766809,-7.5571598
ASHFORD EAST BERTHING SIDINGS,ASHFEBS,58.472511,8.3099342
ASHFORD EAST JUNCTION,ASHFEJN,58.472511,8.3099342
ASHFORD DN YD CNTB END,ASHFKCY,49.766809,-7.5571598
ASHFORD DOWN YARD,ASHFKDY,58.472511,8.3099342
GUSSETT ROAD,ASHFKGR,51.146637,0.8651973
ASHFORD INTERNATIONAL,ASHFKI,51.143697,0.87502432
ASHFORD (KENT),ASHFKY,51.143697,0.87502432
ASHFORD UP SIDINGS,ASHFUPS,51.137305,0.87891608
ASHFORD WEST JUNCTION,ASHFWJN,58.472511,8.3099342
ASHINGTON SIGNAL BOX,ASHGTNJ,58.472511,8.3099342
ASH,ASHH,51.249295,-0.71330099
ASH SIGNAL GD 1331,ASHH331,51.494163,2.4620777
ASHTON IN MAKERFLD KS GBRF,ASHIMGB,49.766809,-7.5571598
ASHTON-IN-MAKERFIELD K.S.,ASHIMKS,53.475129,-2.6553496
ASHTON-IN-MAKERFIELD,ASHIMSB,53.475129,-2.6553496
ASHTON JN SIGNAL B335,ASHJ335,55.819497,2.2556304
BRISTOL ASHTON GATE,ASHJGAT,49.766809,-7.5571598
ASHTON JUNCTION,ASHJN,58.472511,8.3099342
WIMU CM CIVILS ASHTON GATE,ASHJNCE,53.083063,-4.4705272
ASHLEY,ASHLEY,53.355989,-2.3425143
ASHTON-UNDER-LYNE,ASHONUL,53.491272,-2.093408
ASHTON MOSS NORTH JUNCTION,ASHTMNJ,53.492155,-2.1114967
ASHURST JN,ASHUJN,51.117791,0.1685507
ASHURST KENT,ASHURST,51.128659,0.15228041
ASH VALE SIGNAL WK408,ASHV408,49.766809,-7.5571598
ASH VALE,ASHVALE,51.272762,-0.72124715
ASHWELL & MORDEN,ASHWELC,52.030629,-0.10935756
ASKAM,ASKAM,54.189036,-3.2045143
ASKAM SIGNAL AM6,ASKAM6,49.766809,-7.5571598
NORTON LEVEL CROSSING,ASKRNLC,58.472511,8.3099342
ASLOCKTON,ASLCKTN,52.951373,-0.89854857
ASTLEY BRIDGE JUNCTION,ASLYBJN,53.601111,-2.4245849
ASPLEY GUISE,ASPLEYG,52.0218,-0.6244472
BRAYTON,ASPTBRA,56.440806,1.987071
ASPATRIA,ASPTRIA,54.759316,-3.33173
ASTLEY,ASTLEY,53.481179,-2.3674363
ASTON SIGNAL NS65,ASTO65,49.766809,-7.5571598
ASTON BIRMINGHAM,ASTON,52.505128,-1.8717836
ASTON SOUTH JN,ASTOSTJ,52.504229,-1.8717862
ATTADALE,ATADALE,57.394831,-5.4548251
ATHERTON,ATHERTN,53.529002,-2.4781709
ATH,ATHH,50.8867,4.3584631
ATHELNEY CROSSING,ATHLNEY,56.631647,3.9273701
ATHERSTONE,ATHRSTN,52.578071,-1.5528205
ATTLEBOROUGH JN SIG RN3431,ATLB431,49.766809,-7.5571598
ATTLEBOROUGH JN SIG RN9533,ATLB533,49.766809,-7.5571598
ATTLEBOROUGH SOUTH JN,ATLBRJN,52.503202,-1.4293599
ATTLEBOROUGH NORTH JN,ATLBRNJ,53.212761,-2.230726
SHILTON,ATLBSHI,58.472511,8.3099342
ATTENBOROUGH,ATNBRO,52.906345,-1.2312645
ATTENBOROUGH JUNCTION,ATNBROJ,52.894793,-1.2522793
ATTLEBOROUGH,ATTLBON,52.515139,1.0227274
ATTERCLIFFE SHEFFIELD,ATTREWS,58.472511,8.3099342
ATTERCLIFFE SIDINGS,ATTRFHH,56.967044,-1.0829279
MARPLE & GILLOTT,ATTRMGS,53.390269,-1.4496291
ATTERCLIFFE STONE TEML D&C,ATTSTEM,49.766809,-7.5571598
AUCHTERARDER,AUCHTDR,49.766809,-7.5571598
AUCHTERARDER,AUCHTER,56.284298,-3.6976696
AUDLEY END,AUDLEYE,52.004441,0.20716003
AULDGIRTH,AULDGTH,58.472511,8.3099342
AULNOYE  (FRANCE),AULNOYE,50.875275,4.3414618
AVIEMORE,AVIEA29,58.472511,8.3099342
AVIEMORE DOWN REFUGE SIDING,AVIEDRS,54.623517,-1.6352661
AVIEMORE,AVIEMRE,57.188085,-3.8944761
AVIEMORE (SPEYSIDE),AVIEMRS,57.198307,-3.876146
AVIEMORE (SPEYSIDE) GBRF,AVIESGB,49.766809,-7.5571598
AVIEMORE UP REFUGE SIDING,AVIEURS,53.014179,-1.648969
AVIGNON,AVIGCMT,50.874381,4.34134
AVIGNON VILLE,AVIGVIL,50.874381,4.34134
AVONCLIFF,AVNCLFF,51.339649,-2.2813253
AVONMOUTH SIGNAL SA4,AVON4,49.766809,-7.5571598
AVONMOUTH BENNETS SIDING,AVONBEN,58.472511,8.3099342
AVONMOUTH (B.B.H.T.),AVONBHT,58.472511,8.3099342
AVONMOUTH COAL SILO (COLAS),AVONCOL,49.766809,-7.5571598
AVONMOUTH CTR TERMINAL EWS,AVONCT,54.90952,1.9575467
AVONMOUTH DOCK JN,AVONDKJ,53.59436,3.2246934
AVONMOUTH WEST WHARF GBRF,AVONGBR,49.766809,-7.5571598
AVONMOUTH HANSONS SIDING,AVONHAN,49.766809,-7.5571598
AVONMOUTH ENTERPRISE,AVONILS,49.766809,-7.5571598
AVONMOUTH CHITTENING PBA,AVONMCM,51.527727,-2.6817801
AVONMOUTH,AVONMTH,53.59436,3.2246934
AVONMOUTH NATIONAL PWR SILO 2,AVONNP2,49.766809,-7.5571598
AVONMOUTH NATIONAL PWR SILO 1,AVONNPT,58.472511,8.3099342
AVONMOUTH ROCKINGHAM ROAD,AVONRCK,56.669318,-1.0626267
AVONMOUTH WEST WARF (FHH),AVONWFH,49.766809,-7.5571598
AVONMOUTH NO. 5 WHARF EWS,AVONWWF,53.182494,2.0987195
AWRE L.C.,AWRE,51.775232,-2.4434586
AXMINSTER EAST JUNCTION,AXMNSEJ,49.766809,-7.5571598
AXMINSTER,AXMNSTR,50.779037,-3.0055691
AXMINSTER WEST JUNCTION,AXMNSWJ,49.766809,-7.5571598
AYLESFORD,AYLESFD,51.301438,0.46593323
AYLESBURY SIG ME302,AYLS302,49.766809,-7.5571598
AYLESBURY SIG ME792,AYLS792,49.766809,-7.5571598
